node_id,lcfit_t,lcfit_n,brent_t,brent_n,lcfit_fit_t,lcfit_fit_n
0,0.686042,10,0.686063,14,0.676754,4
1,0.653626,10,0.653648,14,0.643425,4
2,0.672304,10,0.672317,14,0.664827,4
3,0.245332,8,0.245544,14,0.24603,4
4,0.721118,11,0.721261,13,0.719413,5
5,0.208809,8,0.208823,15,0.209165,4
6,0.539287,8,0.539519,13,0.534893,4
7,0.481513,8,0.481389,14,0.476196,4
8,0.688834,10,0.68884,14,0.683419,4
9,0.591639,10,0.591658,15,0.58044,4
10,0.158959,6,0.158933,14,0.159045,4
11,0.390151,8,0.391018,13,0.389528,4
12,0.72661,11,0.726652,13,0.72526,5
13,0.849794,11,0.849818,15,0.844096,5
14,0.141227,8,0.141404,14,0.141735,4
15,0.586391,10,0.586544,15,0.552591,4
16,0.498285,8,0.498323,13,0.492591,4
17,0.0801116,8,0.0800998,18,0.0802401,4
